date,run_at,n_fires_today,n_fires_total_window,days_in_window,t1_today,t2_today,t3_today,flow_inv_n,flow_inv_mean_pct,flow_inv_sharpe,t2plus_n,t2plus_mean_pct,t2plus_sharpe,modeB_n,modeB_mean_pct,modeB_sharpe,top1_ticker,top1_n,top1_rate,top2_ticker,top2_n,top2_rate,top3_ticker,top3_n,top3_rate
2026-05-05,2026-05-06T06:03:28+00:00,4913,63285,17,0,319,4594,59831,7.038,0.0755,19696,13.886,0.0972,38883,6.091,0.1178,WMT,114,65.79,XOM,185,65.41,SNDK,1541,64.89
2026-05-06,2026-05-07T17:02:41+00:00,5957,83554,18,629,415,4913,79688,6.136,0.0724,20789,13.546,0.0956,55950,5.304,0.1062,WMT,114,65.79,XOM,185,65.41,SNDK,1541,64.89
2026-05-07,2026-05-07T21:56:05+00:00,2127,85681,19,4,180,1943,81807,6.228,0.074,21264,12.96,0.0921,57975,5.491,0.1094,WMT,114,65.79,XOM,185,65.41,SNDK,1541,64.89
2026-05-08,2026-05-08T21:58:42+00:00,3626,89307,20,1493,1414,719,85128,6.076,0.0716,21605,13.35,0.0933,58087,5.504,0.1097,WMT,120,63.33,SNDK,2292,62.78,XOM,204,62.75
2026-05-12,2026-05-13T22:21:56+00:00,3192,92499,21,9,228,2955,88144,6.307,0.0752,23518,12.86,0.0926,60990,5.806,0.1163,WMT,120,63.33,SNDK,2292,62.78,XOM,204,62.75
2026-05-13,2026-05-14T23:44:35+00:00,2060,94957,23,479,314,1267,90089,6.435,0.0769,24359,12.501,0.091,62124,5.967,0.1193,WMT,120,63.33,SNDK,2292,62.78,XOM,204,62.75
2026-05-14,2026-05-14T23:56:00+00:00,3248,98205,24,4,238,3006,93159,6.178,0.0745,24642,12.077,0.0883,64990,5.758,0.1149,WMT,120,63.33,SNDK,2292,62.78,XOM,204,62.75
2026-05-15,2026-05-16T03:49:54+00:00,2136,626155,93,244,520,1372,442549,8.132,0.0803,75355,22.871,0.1195,243239,7.235,0.128,RKLB,3923,60.21,SNDK,14377,58.03,CVNA,2572,56.65
2026-05-18,2026-05-18T22:00:25+00:00,1792,627947,94,59,159,1574,444323,8.103,0.0801,75569,22.716,0.1188,243951,7.226,0.128,RKLB,3923,60.21,SNDK,14377,58.03,CVNA,2572,56.65
2026-05-19,2026-05-20T01:16:27+00:00,1779,629726,95,0,5,1774,446085,15.495,0.0418,75574,23.5,0.0958,245487,14.607,0.0475,RKLB,3923,60.21,SNDK,14377,58.03,CVNA,2572,56.65
2026-05-20,2026-05-21T05:58:53+00:00,12536,642262,96,126,407,12003,458256,27.421,0.0541,76069,26.538,0.0842,250140,17.701,0.0501,RKLB,3923,60.21,SNDK,14377,58.03,CVNA,2572,56.65
2026-05-21,2026-05-22T04:27:00+00:00,1921,644183,97,0,2,1919,460069,35.306,0.0577,76071,26.536,0.0842,251815,31.98,0.0548,RKLB,3923,60.21,SNDK,14377,58.03,CVNA,2572,56.65
2026-05-22,2026-05-23T00:43:16+00:00,1802,645985,98,8,22,1772,461317,35.207,0.0576,29411,104.692,0.0967,251815,31.98,0.0548,RKLB,4169,59.63,SNDK,14569,57.97,CVNA,2575,56.58
2026-05-26,2026-05-27T02:20:43+00:00,1000,646985,99,193,100,707,462315,41.158,0.0617,29342,135.295,0.107,252711,41.841,0.0615,RKLB,4169,59.63,SNDK,14569,57.97,CVNA,2575,56.58
2026-05-27,2026-05-27T22:57:10+00:00,3545,660531,100,48,130,3367,475172,46.57,0.063,29831,142.464,0.1101,263375,48.492,0.0621,RKLB,4169,59.63,SNDK,14569,57.97,CVNA,2575,56.58
