id,ticker,strike,side,expiry,ts_utc,trade_date_ct,spot_at_detect,hhi,iv_vol_corr,precision_stack_pass
1,IWM,274.00,call,2026-04-28,2026-04-28T15:38:38.452000+00:00,2026-04-28,273.5,,0.004352,false
2,IWM,274.00,call,2026-04-28,2026-04-28T15:40:36.713000+00:00,2026-04-28,273.31,,0.004352,false
3,IWM,274.00,call,2026-04-28,2026-04-28T15:41:36.477000+00:00,2026-04-28,273.38,,0.004352,false
4,QQQ,657.00,call,2026-04-28,2026-04-28T16:08:36.855000+00:00,2026-04-28,655.51,0.271854,-0.574569,false
5,SPXW,7130.00,call,2026-04-28,2026-04-28T16:08:45.713000+00:00,2026-04-28,7127.34,0.128376,-0.100657,true
6,SPXW,7135.00,call,2026-04-28,2026-04-28T16:08:45.713000+00:00,2026-04-28,7127.34,0.128376,-0.470371,false
7,QQQ,661.00,call,2026-04-28,2026-04-28T16:20:40.349000+00:00,2026-04-28,655.53,0.354043,-0.054573,false
8,QQQ,656.00,call,2026-04-28,2026-04-28T16:21:36.750000+00:00,2026-04-28,655.56,0.354854,-0.655506,false
9,QQQ,661.00,call,2026-04-28,2026-04-28T16:21:36.750000+00:00,2026-04-28,655.56,0.354854,-0.054573,false
10,QQQ,661.00,call,2026-04-28,2026-04-28T16:22:37.048000+00:00,2026-04-28,655.51,0.356526,-0.054573,false
11,QQQ,661.00,call,2026-04-28,2026-04-28T16:23:36.884000+00:00,2026-04-28,655.53,0.354353,-0.054573,false
12,QQQ,655.00,call,2026-04-28,2026-04-28T16:41:06+00:00,2026-04-28,654.63,0.398925,-0.256926,false
13,SPXW,7135.00,call,2026-04-28,2026-04-28T16:54:14.254000+00:00,2026-04-28,7126.03,0.153547,-0.470371,false
14,IWM,274.00,call,2026-04-28,2026-04-28T16:55:10.343000+00:00,2026-04-28,273.62,,0.004352,false
15,SPXW,7135.00,call,2026-04-28,2026-04-28T16:55:10.752000+00:00,2026-04-28,7125.83,0.148782,-0.470371,false
16,IWM,274.00,call,2026-04-28,2026-04-28T16:56:05.900000+00:00,2026-04-28,273.57,,0.004352,false
17,SPXW,7135.00,call,2026-04-28,2026-04-28T16:56:08.317000+00:00,2026-04-28,7124.89,0.153216,-0.470371,false
18,SPXW,7135.00,call,2026-04-28,2026-04-28T16:57:08.182000+00:00,2026-04-28,7124.78,0.155723,-0.470371,false
19,SPXW,7140.00,call,2026-04-28,2026-04-28T17:35:19.828000+00:00,2026-04-28,7129.09,0.182491,-0.286533,false
20,SPY,711.00,call,2026-04-28,2026-04-28T17:36:05.813000+00:00,2026-04-28,710.69,0.295391,-0.684344,false
21,QQQ,657.00,call,2026-04-28,2026-04-28T17:36:06.490000+00:00,2026-04-28,656.31,0.262978,-0.574569,false
22,SPXW,7140.00,call,2026-04-28,2026-04-28T17:36:07.946000+00:00,2026-04-28,7130.1,0.171952,-0.286533,false
23,SPXW,7145.00,call,2026-04-28,2026-04-28T17:36:07.946000+00:00,2026-04-28,7130.1,0.171952,0.026051,true
25,SPY,711.00,call,2026-04-28,2026-04-28T17:37:06.313000+00:00,2026-04-28,710.68,0.292492,-0.684344,false
24,QQQ,657.00,call,2026-04-28,2026-04-28T17:37:07.603000+00:00,2026-04-28,656.22,0.259763,-0.574569,false
26,SPXW,7130.00,call,2026-04-28,2026-04-28T17:37:08.137000+00:00,2026-04-28,7129.93,0.167872,-0.100657,true
27,SPXW,7135.00,call,2026-04-28,2026-04-28T17:37:08.137000+00:00,2026-04-28,7129.93,0.167872,-0.470371,false
28,SPXW,7140.00,call,2026-04-28,2026-04-28T17:37:08.137000+00:00,2026-04-28,7129.93,0.167872,-0.286533,false
29,SPXW,7145.00,call,2026-04-28,2026-04-28T17:37:08.137000+00:00,2026-04-28,7129.93,0.167872,0.026051,true
31,SPY,711.00,call,2026-04-28,2026-04-28T17:38:06.297000+00:00,2026-04-28,710.73,0.294238,-0.684344,false
30,QQQ,657.00,call,2026-04-28,2026-04-28T17:38:06.502000+00:00,2026-04-28,656.32,0.262569,-0.574569,false
32,SPXW,7135.00,call,2026-04-28,2026-04-28T17:38:07.682000+00:00,2026-04-28,7130.85,0.176545,-0.470371,false
33,SPXW,7140.00,call,2026-04-28,2026-04-28T17:38:07.682000+00:00,2026-04-28,7130.85,0.176545,-0.286533,false
34,SPXW,7145.00,call,2026-04-28,2026-04-28T17:38:07.682000+00:00,2026-04-28,7130.85,0.176545,0.026051,true
35,QQQ,657.00,call,2026-04-28,2026-04-28T17:40:05.945000+00:00,2026-04-28,656.35,0.326902,-0.574569,false
36,QQQ,657.00,call,2026-04-28,2026-04-28T17:42:09.378000+00:00,2026-04-28,656.65,0.313403,-0.574569,false
37,QQQ,658.00,call,2026-04-28,2026-04-28T17:42:09.378000+00:00,2026-04-28,656.65,0.313403,-0.411795,false
38,QQQ,657.00,call,2026-04-28,2026-04-28T17:56:06.204000+00:00,2026-04-28,656.79,0.351794,-0.574569,false
39,QQQ,657.00,call,2026-05-08,2026-04-28T17:59:06.227000+00:00,2026-04-28,656.98,0.496441,0.678823,false
43,QQQ,658.00,call,2026-04-28,2026-04-28T18:18:17.934000+00:00,2026-04-28,657.36,0.361394,-0.411795,false
45,SPY,712.00,call,2026-04-28,2026-04-28T18:19:16.821000+00:00,2026-04-28,711.48,0.389806,-0.147591,false
44,QQQ,658.00,call,2026-04-28,2026-04-28T18:19:20.781000+00:00,2026-04-28,657.45,0.341478,-0.411795,false
46,QQQ,658.00,call,2026-04-28,2026-04-28T18:20:16.914000+00:00,2026-04-28,657.56,0.335716,-0.411795,false
47,QQQ,658.00,call,2026-04-28,2026-04-28T18:21:20.866000+00:00,2026-04-28,657.68,0.329467,-0.411795,false
48,QQQ,658.00,call,2026-04-28,2026-04-28T18:22:20.459000+00:00,2026-04-28,657.61,0.325001,-0.411795,false
49,QQQ,657.00,put,2026-04-28,2026-04-28T18:35:02.098000+00:00,2026-04-28,657.38,0.369426,-0.178859,false
50,QQQ,657.00,put,2026-04-28,2026-04-28T18:36:02.104000+00:00,2026-04-28,657.21,0.321934,-0.178859,false
51,NDXP,27500.00,call,2026-04-29,2026-04-29T13:59:19.729000+00:00,2026-04-29,27093.35,0.353675,-0.011083,false
52,IWM,271.00,put,2026-04-29,2026-04-29T14:00:21.541000+00:00,2026-04-29,272.84,,-0.015836,false
53,IWM,271.00,put,2026-04-29,2026-04-29T14:01:18.690000+00:00,2026-04-29,272.58,,-0.015836,false
54,IWM,271.00,put,2026-04-29,2026-04-29T14:02:18.165000+00:00,2026-04-29,272.71,,-0.015836,false
55,QQQ,658.00,put,2026-04-29,2026-04-29T14:02:18.949000+00:00,2026-04-29,658.21,0.213257,-0.002052,false
56,IWM,271.00,put,2026-04-29,2026-04-29T14:03:18.798000+00:00,2026-04-29,272.87,,-0.015836,false
57,QQQ,658.00,put,2026-04-29,2026-04-29T14:03:23.263000+00:00,2026-04-29,658.24,0.214748,-0.002052,false
58,IWM,271.00,put,2026-04-29,2026-04-29T14:04:18.205000+00:00,2026-04-29,272.72,,-0.015836,false
59,QQQ,658.00,put,2026-04-29,2026-04-29T14:04:23.013000+00:00,2026-04-29,658.22,0.215348,-0.002052,false
60,IWM,271.00,put,2026-04-29,2026-04-29T14:05:18.170000+00:00,2026-04-29,272.85,,-0.015836,false
61,TSLA,372.50,call,2026-04-29,2026-04-29T14:07:17.954000+00:00,2026-04-29,372.35,,-0.450027,false
63,TSLA,372.50,call,2026-04-29,2026-04-29T14:09:18.320000+00:00,2026-04-29,372.3,,-0.450027,false
64,QQQ,659.00,call,2026-04-29,2026-04-29T14:15:19.486000+00:00,2026-04-29,658.66,0.386645,0.797099,false
65,TSLA,372.50,call,2026-04-29,2026-04-29T14:16:20.069000+00:00,2026-04-29,372.44,,-0.450027,false
68,TSLA,372.50,call,2026-04-29,2026-04-29T14:19:18.191000+00:00,2026-04-29,372.38,,-0.450027,false
69,NDXP,27500.00,call,2026-04-29,2026-04-29T14:32:19.705000+00:00,2026-04-29,27144.33,0.376997,-0.011083,false
70,NDXP,27500.00,call,2026-04-29,2026-04-29T14:33:26.566000+00:00,2026-04-29,27147.72,0.332504,-0.011083,false
71,NDXP,27500.00,call,2026-04-29,2026-04-29T14:34:26.482000+00:00,2026-04-29,27149.74,0.331838,-0.011083,false
72,NDXP,27500.00,call,2026-04-29,2026-04-29T14:35:19.689000+00:00,2026-04-29,27155.75,0.328310,-0.011083,false
73,NDXP,27500.00,call,2026-04-29,2026-04-29T14:36:19.959000+00:00,2026-04-29,27163.88,0.317243,-0.011083,false
74,NDXP,27500.00,call,2026-04-29,2026-04-29T14:37:27.363000+00:00,2026-04-29,27182.22,0.205894,-0.011083,false
