rank_in_day,bucket_start,symbol,option_chain_id,strike,option_type,bucket_spot,moneyness_pct,n_prints,total_volume,total_premium,buy_premium_pct,composite_score
1,2026-04-21 12:10:00,SPXW,SPXW260421P07050000,7050.0,put,7071.5,-0.003040373329562328,1635,6873,2769198.0,0.6938268769513772,8.724069044191744
2,2026-04-21 10:00:00,SPXW,SPXW260421P07070000,7070.0,put,7091.64990234375,-0.0030528724121864546,1674,4278,3237174.0,0.4250516036518272,8.519356057767322
3,2026-04-21 09:45:00,QQQ,QQQ260421P00646000,646.0,put,648.1099853515625,-0.003255597659736648,1022,16306,1098546.0,0.7314149794364551,8.295554323931748
4,2026-04-21 08:40:00,SPXW,SPXW260421C07140000,7140.0,call,7118.06982421875,0.0030809160801758455,850,2233,1216103.0,0.5215923322284379,8.182288225131119
5,2026-04-21 10:00:00,SPXW,SPXW260421C07115000,7115.0,call,7091.93017578125,0.0032529683241288567,927,2588,1480929.0,0.4556538497119038,8.150297883423757
6,2026-04-21 09:55:00,SPXW,SPXW260421P07080000,7080.0,put,7104.1201171875,-0.003395229358403512,1383,3349,1862304.0,0.38321938845644965,8.134701390217426
7,2026-04-21 08:45:00,SPXW,SPXW260421C07150000,7150.0,call,7125.9599609375,0.003373586042341061,1492,3975,1570749.0,0.44900553812225885,8.133036793807918
8,2026-04-21 09:45:00,SPXW,SPXW260421P07095000,7095.0,put,7116.72998046875,-0.003053365875674088,886,2362,1134611.0,0.4076251684498035,8.046462778230467
9,2026-04-21 09:00:00,QQQ,QQQ260421P00647000,647.0,put,649.010009765625,-0.0030970396995122908,1017,9352,808505.0,0.5489724862554962,8.027543823596885
10,2026-04-21 10:05:00,SPXW,SPXW260421C07120000,7120.0,call,7096.56982421875,0.003301619847561972,917,2378,1030286.0,0.49357557027854404,8.01604783601055
11,2026-04-21 09:55:00,QQQ,QQQ260421P00645000,645.0,put,647.0900268554688,-0.0032298857480855124,1794,10536,796365.0,0.5802100795489505,8.012357065133127
12,2026-04-21 10:00:00,SPXW,SPXW260421P07065000,7065.0,put,7091.72509765625,-0.003768490358584599,1116,2752,1834902.0,0.36175664967393356,7.994822652823876
13,2026-04-21 09:45:00,SPY,SPY260421P00707000,707.0,put,709.2799072265625,-0.003214397029062094,1924,16893,833760.0,0.5288044521205143,7.985526920110944
14,2026-04-21 10:05:00,SPXW,SPXW260421P07070000,7070.0,put,7095.85009765625,-0.00364298812693186,960,3172,2008695.0,0.2739953054097312,7.984013082071207
15,2026-04-21 08:30:00,SPY,SPY260421P00707000,707.0,put,709.3900146484375,-0.0033691123346611435,1292,10729,845003.0,0.546452497801783,7.962577562180134
16,2026-04-21 09:55:00,SPXW,SPXW260421C07130000,7130.0,call,7106.52001953125,0.0033040053928249896,1031,2659,1004411.0,0.447679286666514,7.9583895615323925
17,2026-04-21 12:05:00,SPXW,SPXW260421P07050000,7050.0,put,7075.490234375,-0.003602610353578084,1618,4192,1302163.0,0.4202983804638897,7.954180958937308
18,2026-04-21 09:20:00,SPXW,SPXW260421P07105000,7105.0,put,7129.1298828125,-0.0033846883433382704,1144,2756,1363812.0,0.3290277545585462,7.948376077423238
19,2026-04-21 08:50:00,SPY,SPY260421C00713000,713.0,call,710.5601196289062,0.0034337423445154652,2697,17295,766883.0,0.5922689641053459,7.946875937646434
