bucket_min,symbol,option_type,aggression_regime,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,median_end_ret_bps
5,QQQ,call,buy_dom,0.3-0.5%,$1-5k,31,29.03225806451613,75.0,27.91844940185547,9.007492065429688,23.10084342956543
5,QQQ,call,buy_dom,0.3-0.5%,$100-500k,31,35.483870967741936,49.0,24.602384567260742,17.965476989746094,12.643632888793945
5,QQQ,call,buy_dom,0.3-0.5%,$25-100k,55,20.0,58.0,21.873374938964844,14.394864082336426,14.241568565368652
5,QQQ,call,buy_dom,0.3-0.5%,$5-25k,63,11.11111111111111,62.0,19.207679748535156,10.416057586669922,12.378470420837402
5,QQQ,call,buy_dom,0.5-1%,$1-5k,160,3.125,97.0,20.332008361816406,12.990788459777832,9.566452980041504
5,QQQ,call,buy_dom,0.5-1%,$100-500k,13,23.076923076923077,56.0,41.54035949707031,13.981889724731445,23.65704345703125
5,QQQ,call,buy_dom,0.5-1%,$25-100k,54,5.555555555555555,61.0,24.86200714111328,22.083181381225586,3.0216360092163086
5,QQQ,call,buy_dom,0.5-1%,$5-25k,135,3.7037037037037033,92.0,22.324594497680664,13.981889724731445,13.23242473602295
5,QQQ,call,buy_dom,1-1.5%,$1-5k,98,0.0,,24.820693969726562,14.589287757873535,18.75130844116211
5,QQQ,call,buy_dom,1-1.5%,$5-25k,23,0.0,,56.035491943359375,12.400328636169434,42.33316421508789
5,QQQ,call,buy_dom,1.5-2%,$1-5k,32,0.0,,37.83756065368652,14.338315963745117,18.748745918273926
5,QQQ,call,buy_dom,2-3%,$1-5k,11,0.0,,54.95372772216797,18.985797882080078,42.33316421508789
5,QQQ,call,mixed,0.3-0.5%,$1-5k,29,10.344827586206897,54.0,18.167747497558594,14.2710599899292,9.747584342956543
5,QQQ,call,mixed,0.3-0.5%,$100-500k,115,45.21739130434783,49.5,33.12181854248047,13.325089454650879,16.67926597595215
5,QQQ,call,mixed,0.3-0.5%,$25-100k,94,23.404255319148938,70.5,23.92019748687744,14.52975082397461,11.518905639648438
5,QQQ,call,mixed,0.3-0.5%,$5-25k,56,19.642857142857142,77.0,20.64371109008789,9.235579490661621,12.650725364685059
5,QQQ,call,mixed,0.3-0.5%,$500k-2.5M,21,57.14285714285714,34.5,43.87090301513672,33.19412612915039,-3.448228597640991
5,QQQ,call,mixed,0.5-1%,$1-5k,87,1.1494252873563218,112.0,24.751436233520508,9.497342109680176,15.513437271118164
5,QQQ,call,mixed,0.5-1%,$100-500k,37,24.324324324324326,70.0,43.41791534423828,18.71177101135254,26.344186782836914
5,QQQ,call,mixed,0.5-1%,$25-100k,103,11.650485436893204,92.0,29.121667861938477,17.08806610107422,12.951398849487305
5,QQQ,call,mixed,0.5-1%,$5-25k,102,4.901960784313726,105.0,24.787506103515625,12.5371994972229,14.751229286193848
5,QQQ,call,mixed,1-1.5%,$1-5k,44,0.0,,41.37721252441406,12.840004444122314,16.27696943283081
5,QQQ,call,mixed,1-1.5%,$5-25k,14,0.0,,59.70604705810547,14.338315963745117,46.990928649902344
5,QQQ,call,mixed,1.5-2%,$1-5k,15,0.0,,41.54035949707031,17.072315216064453,14.955412864685059
