bucket_min,symbol,distance_bucket,premium_bucket,n,touch_pct,median_minutes_to_touch,median_mfe_bps,median_mae_bps,mfe_mae_ratio,mean_end_ret_bps
1,QQQ,0.3-0.5%,$1-5k,1839,19.358346927678085,54.0,19.187461853027344,17.362001419067383,1.1051411291762248,-0.23999118998606134
1,QQQ,0.3-0.5%,$100-500k,456,39.473684210526315,50.5,26.256290435791016,28.66380500793457,0.9160085490577012,-1.0228468012064695
1,QQQ,0.3-0.5%,$25-100k,1783,30.398205272013463,46.0,20.462194442749023,23.328847885131836,0.8771198022080715,-2.497567955674045
1,QQQ,0.3-0.5%,$5-25k,2256,24.29078014184397,60.0,20.187297821044922,20.083984375,1.0051440712219197,-0.7570032081403469
1,QQQ,0.3-0.5%,$500k-2.5M,12,41.66666666666667,49.0,28.663846015930176,22.923562049865723,1.2504097728606745,9.918585101763407
1,QQQ,0.5-1%,$1-5k,4387,3.031684522452701,77.0,18.983135223388672,20.23252010345459,0.9382486771950572,-2.4505293356077975
1,QQQ,0.5-1%,$100-500k,122,9.01639344262295,66.0,22.500194549560547,34.95022964477539,0.6437781604941195,-8.805349240367697
1,QQQ,0.5-1%,$25-100k,1078,13.45083487940631,67.0,22.107837677001953,30.224349975585938,0.7314578376328956,-5.99245528133948
1,QQQ,0.5-1%,$5-25k,3190,6.802507836990595,67.0,19.796228408813477,23.422988891601562,0.8451623531235811,-3.4034166526831804
1,QQQ,1-1.5%,$1-5k,2021,0.0,,17.413888931274414,25.879663467407227,0.6728792649566488,-7.679956064971726
1,QQQ,1-1.5%,$100-500k,10,0.0,,27.269329071044922,43.354209899902344,0.6289891831498087,-21.788666677474975
1,QQQ,1-1.5%,$25-100k,48,0.0,,23.144390106201172,42.32621383666992,0.5468098374097826,-15.362420294433832
1,QQQ,1-1.5%,$5-25k,669,0.0,,17.564716339111328,39.190185546875,0.44819171162387944,-15.313572531011964
1,QQQ,1.5-2%,$1-5k,759,0.0,,14.286104202270508,38.70110321044922,0.3691394564280351,-17.23365017031571
1,QQQ,1.5-2%,$5-25k,121,0.0,,18.751888275146484,48.682861328125,0.3851845960482435,-24.616574656864827
1,QQQ,2-3%,$1-5k,316,0.0,,15.560726642608643,46.82175064086914,0.332339701733113,-23.16266929752509
1,QQQ,2-3%,$5-25k,20,0.0,,17.772241592407227,46.55470085144043,0.3817496679684355,-27.05962293148041
1,QQQ,3%+,$1-5k,93,0.0,,18.411212921142578,25.588600158691406,0.7195084063591903,-10.715555065421649
1,SPXW,0.3-0.5%,$1-5k,2756,6.712626995645864,67.0,9.776177883148193,10.07186508178711,0.9706422597763342,0.22629680760652204
1,SPXW,0.3-0.5%,$100-500k,2467,21.929468990676938,63.0,17.617544174194336,17.617544174194336,1.0,0.044554598569827714
1,SPXW,0.3-0.5%,$25-100k,5620,15.409252669039144,68.0,15.239794731140137,15.175963401794434,1.0042060808698416,-0.782556762308333
1,SPXW,0.3-0.5%,$5-25k,4560,7.6535087719298245,62.0,12.512521266937256,13.262083530426025,0.9434808066342582,-0.731709389725553
1,SPXW,0.3-0.5%,$500k-2.5M,65,15.384615384615385,91.0,19.412147521972656,14.950980186462402,1.2983862783491404,1.9961079514943636
1,SPXW,0.5-1%,$1-5k,9586,0.31295639474233256,58.5,13.920431137084961,13.714597702026367,1.0150083465465547,-0.8344980117780859
1,SPXW,0.5-1%,$100-500k,907,3.307607497243661,65.5,17.73517608642578,19.33212661743164,0.9173939544982134,-1.816775702827229
1,SPXW,0.5-1%,$25-100k,5054,3.264740799366838,67.0,15.339088439941406,19.412147521972656,0.7901798820856402,-3.3958631690660126
1,SPXW,0.5-1%,$5-25k,9152,0.4807692307692308,66.0,15.326610565185547,15.104634284973145,1.0146959056422329,-1.5371576885247467
1,SPXW,0.5-1%,$500k-2.5M,24,0.0,,22.995155334472656,18.575901985168457,1.2379024907018061,-1.9668398424983025
1,SPXW,1-1.5%,$1-5k,6513,0.0,,15.339088439941406,15.615883827209473,0.9822747536847212,-1.555995162425435
1,SPXW,1-1.5%,$100-500k,57,0.0,,11.218355178833008,25.951675415039062,0.4322786486583422,-9.191505979550513
1,SPXW,1-1.5%,$25-100k,605,0.0,,12.869974136352539,26.8610782623291,0.4791309570919881,-13.853266623012782
1,SPXW,1-1.5%,$5-25k,3397,0.0,,13.732208251953125,20.8315372467041,0.659202827392193,-6.99541102850649
1,SPXW,1.5-2%,$1-5k,3250,0.0,,13.485883712768555,20.64203453063965,0.6533214394516691,-6.7459579304935025
1,SPXW,1.5-2%,$25-100k,88,0.0,,13.07234001159668,25.599552154541016,0.510647214946603,-11.908826281401245
1,SPXW,1.5-2%,$5-25k,913,0.0,,12.014017105102539,26.157913208007812,0.45928805595335664,-13.188744996622335
1,SPXW,2-3%,$1-5k,2295,0.0,,12.56333065032959,23.95477867126465,0.5244603101008878,-10.82014683815113
1,SPXW,2-3%,$25-100k,22,0.0,,10.843540668487549,22.168753623962402,0.4891362343784032,-14.142016337676482
1,SPXW,2-3%,$5-25k,348,0.0,,12.869974136352539,25.120478630065918,0.512329972922923,-13.947312573334951
1,SPXW,3%+,$1-5k,718,0.0,,12.130731582641602,22.535188674926758,0.5383017536542115,-13.471823603293565
1,SPXW,3%+,$5-25k,48,0.0,,11.218355178833008,25.13965606689453,0.4462413944320439,-9.844483769188324
1,SPY,0.3-0.5%,$1-5k,2125,5.8352941176470585,64.5,11.305809020996094,12.199020385742188,0.9267800744238407,-0.7200826880216035
1,SPY,0.3-0.5%,$100-500k,473,20.930232558139537,51.0,17.801605224609375,19.33304214477539,0.9207865524371251,-0.19510338107324807
1,SPY,0.3-0.5%,$25-100k,1900,16.473684210526315,64.0,15.820063591003418,16.874011993408203,0.9375401414425623,-1.5814302235054247
1,SPY,0.3-0.5%,$5-25k,3032,11.510554089709762,63.0,14.056633949279785,13.99596643447876,1.004334642776191,-0.34429096052566815
1,SPY,0.5-1%,$1-5k,4989,0.5411906193625977,38.0,14.085203647613525,14.784289836883545,0.9527142529683128,-1.8259538772078134
1,SPY,0.5-1%,$100-500k,101,4.9504950495049505,59.0,13.365206718444824,26.230777740478516,0.5095238444958518,-10.129045028866518
1,SPY,0.5-1%,$25-100k,923,2.7085590465872156,66.0,15.701798439025879,21.94278907775879,0.7155789714508637,-5.570191610414829
1,SPY,0.5-1%,$5-25k,4127,1.2357644778289314,57.0,15.634782791137695,17.19614028930664,0.9092030262663146,-1.7268860971488227
1,SPY,1-1.5%,$1-5k,2030,0.0,,14.23228931427002,19.237418174743652,0.7398232540869363,-5.064586374547086
1,SPY,1-1.5%,$100-500k,11,0.0,,5.001751899719238,28.29604721069336,0.17676503938786992,-13.707954547621988
1,SPY,1-1.5%,$25-100k,68,0.0,,12.658246040344238,24.402183532714844,0.5187341543995,-14.096026388928294
1,SPY,1-1.5%,$5-25k,882,0.0,,14.020626068115234,18.170899391174316,0.7715978040649497,-5.548871038219129
1,SPY,1.5-2%,$1-5k,646,0.0,,13.39476203918457,24.838714599609375,0.5392695336736637,-11.603017249035984
1,SPY,1.5-2%,$5-25k,263,0.0,,12.593802452087402,27.513399124145508,0.457733426366617,-13.786357946297288
1,SPY,2-3%,$1-5k,340,0.0,,12.593802452087402,20.976181030273438,0.6003858583176632,-10.39393396611472
1,SPY,2-3%,$5-25k,61,0.0,,10.2822847366333,21.269855499267578,0.4834205261520168,-13.1396934011432
