distance_bucket,threshold,n,touch_pct,median_mfe_bps,median_mae_bps,cohort
0.3-0.5%,1000,4086,14.243759177679882,13.812397497921124,12.69595208224828,all_cond
0.3-0.5%,5000,3814,14.708966963817517,14.29257482422992,13.444402698413793,all_cond
0.3-0.5%,25000,3122,15.855221012171686,15.253839265769141,14.606006710929604,all_cond
0.3-0.5%,50000,2678,16.206123973114263,15.62432917700972,14.958669084508447,all_cond
0.3-0.5%,100000,2156,17.20779220779221,16.006338523188322,15.168026503674358,all_cond
0.3-0.5%,250000,1214,20.510708401976935,16.836516948097678,16.858833794259745,all_cond
0.3-0.5%,500000,475,22.736842105263158,18.095178057698416,18.61267509773553,all_cond
0.3-0.5%,1000000,74,17.56756756756757,21.475651919694187,15.014532701701043,all_cond
0.5-1%,1000,7126,0.9261857984844233,13.611778675606086,14.53992439257524,all_cond
0.5-1%,5000,5470,0.9872029250457038,14.67354829111256,15.26739323162656,all_cond
0.5-1%,25000,3353,1.3719057560393677,15.180710533449103,16.85608441784339,all_cond
0.5-1%,50000,2443,1.882930822758903,15.124161092639993,18.394997688291735,all_cond
0.5-1%,100000,1579,2.5965801139962,14.985919129356521,19.86443956906653,all_cond
0.5-1%,250000,585,4.102564102564102,15.895407048528128,20.049487575459832,all_cond
0.5-1%,500000,151,3.3112582781456954,17.8693365419844,19.46013633376698,all_cond
0.5-1%,1000000,21,0.0,21.339350607644057,20.293816097692837,all_cond
1-1.5%,1000,4741,0.0,14.644528386988114,15.837252293695423,all_cond
1-1.5%,5000,2555,0.0,14.36267221517961,18.05276790419714,all_cond
1-1.5%,25000,869,0.0,12.796526404970079,23.684042076513876,all_cond
1-1.5%,50000,430,0.0,12.642531305783402,26.26095369877392,all_cond
1-1.5%,100000,163,0.0,12.23093595711244,27.27481090992431,all_cond
1-1.5%,250000,29,0.0,12.6936965426948,27.072211295308286,all_cond
1.5-2%,1000,2880,0.0,14.06781555678175,17.988088174568432,all_cond
1.5-2%,5000,1006,0.0,12.810793142339413,22.964678878487575,all_cond
1.5-2%,25000,189,0.0,12.91404365476223,27.00177717212041,all_cond
1.5-2%,50000,67,0.0,12.723076719416644,28.47978419647258,all_cond
1.5-2%,100000,12,0.0,12.679000857987315,24.056917946864235,all_cond
2-3%,1000,2515,0.0,13.142262053185146,20.816703006575338,all_cond
2-3%,5000,534,0.0,11.554981719869726,26.57690765752502,all_cond
2-3%,25000,44,0.0,11.400099324496171,21.667143481292634,all_cond
2-3%,50000,11,0.0,7.229777885972311,39.213845977867464,all_cond
3%+,1000,919,0.0,12.399160283369154,21.38316100608824,all_cond
3%+,5000,79,0.0,10.4459483408232,26.463656765527656,all_cond
0.3-0.5%,1000,3946,14.521033958438926,13.964652113533178,13.302550082753571,singles_only
0.3-0.5%,5000,3505,15.035663338088446,14.57925059201163,14.15290119808422,singles_only
0.3-0.5%,25000,2684,16.39344262295082,15.531823768395604,15.009361744673953,singles_only
0.3-0.5%,50000,2207,17.444494789306752,15.960650049062224,15.329471539589706,singles_only
0.3-0.5%,100000,1596,19.48621553884712,16.81868133238315,16.104621500826724,singles_only
0.3-0.5%,250000,666,20.57057057057057,16.26690808759883,18.710806342963092,singles_only
0.3-0.5%,500000,150,20.666666666666668,18.073023222188773,19.092796244545724,singles_only
0.3-0.5%,1000000,12,0.0,21.60639013728907,14.084086968455964,singles_only
0.5-1%,1000,5843,0.8899537908608592,14.097902753780408,15.237488604754873,singles_only
0.5-1%,5000,4037,1.0651473866732721,14.617825242946576,16.41563691648878,singles_only
0.5-1%,25000,2213,1.8978761861726163,14.377111638271616,18.83172758177971,singles_only
0.5-1%,50000,1422,2.390998593530239,14.12289926337238,20.17479834866296,singles_only
0.5-1%,100000,758,2.638522427440633,14.214362093355199,20.974683635137133,singles_only
0.5-1%,250000,162,1.8518518518518516,13.075534179716097,23.8350945389679,singles_only
0.5-1%,500000,29,3.4482758620689653,14.79934206353569,25.307032817371656,singles_only
1-1.5%,1000,2860,0.0,14.231836855793253,17.644301159661786,singles_only
1-1.5%,5000,1331,0.0,12.634935670672734,20.85481613062195,singles_only
1-1.5%,25000,309,0.0,10.900818018187861,26.874998243923425,singles_only
1-1.5%,50000,133,0.0,10.859754033622671,27.850204949320933,singles_only
1-1.5%,100000,40,0.0,10.33504409617779,28.668785902416364,singles_only
1.5-2%,1000,1156,0.0,11.59636289713582,22.470755390449007,singles_only
1.5-2%,5000,320,0.0,9.851151343450073,26.6425791337875,singles_only
1.5-2%,25000,39,0.0,10.91014784163076,28.144655011422405,singles_only
2-3%,1000,910,0.0,12.954970393937698,20.052737016621588,singles_only
2-3%,5000,146,0.0,11.84003364580365,19.327925191143834,singles_only
2-3%,25000,13,0.0,20.83301009491282,18.61953196658485,singles_only
3%+,1000,469,0.0,12.21932589807634,19.521996244758107,singles_only
3%+,5000,31,0.0,13.054370720660735,22.665505630533282,singles_only
