symbol,distance_bucket,threshold,loo_mean,loo_min,loo_max,loo_std,loo_runs,loo_range,full_sample_touch_pct,full_sample_n,verdict
QQQ,0.3-0.5%,1000,23.51278231957727,19.89329268292683,26.132930513595166,2.2902030966798796,8,6.239637830668336,23.517786561264824,1518,moderate
QQQ,0.3-0.5%,5000,24.64261715856889,20.851063829787233,27.432885906040266,2.359221690487455,8,6.581822076253033,24.653537563822027,1371,moderate
QQQ,0.3-0.5%,25000,27.48538392594874,23.52941176470588,30.124575311438278,2.180649501707495,8,6.5951635467323975,27.507447864945384,1007,moderate
QQQ,0.3-0.5%,50000,29.63404589383024,25.301204819277107,32.45997088791849,2.3012093322162768,8,7.1587660686413805,29.65779467680608,789,moderate
QQQ,0.3-0.5%,100000,31.175746384037076,27.004219409282697,33.67139959432049,2.171457410618496,8,6.667180185037793,31.20567375886525,564,moderate
QQQ,0.3-0.5%,250000,32.54919551848045,26.991150442477874,35.0,2.484096535145648,8,8.008849557522126,32.608695652173914,276,moderate
QQQ,0.3-0.5%,500000,32.592456009938815,23.75,38.095238095238095,4.055690652613841,8,14.345238095238095,32.6530612244898,98,moderate
QQQ,0.5-1%,1000,4.132136968878012,3.5853468433359312,4.629996042738425,0.44742378915383296,8,1.0446491994024933,4.133925521011275,2927,robust
QQQ,0.5-1%,5000,5.1367616487710315,4.2898550724637685,5.739130434782608,0.5294908113621846,8,1.44927536231884,5.139720558882235,2004,robust
QQQ,0.5-1%,25000,7.692167083375032,6.789413118527042,8.588235294117647,0.690010273195632,8,1.7988221755906046,7.7,1000,robust
QQQ,0.5-1%,50000,10.708286932473529,9.00562851782364,12.17564870259481,1.0296901479621634,8,3.17002018477117,10.70840197693575,607,robust
QQQ,0.5-1%,100000,13.431491955626717,11.851851851851853,15.079365079365079,1.158536073456924,8,3.227513227513226,13.418530351437699,313,robust
QQQ,0.5-1%,250000,12.49540491407965,11.29032258064516,14.516129032258066,1.1914688765334245,8,3.2258064516129057,12.5,72,robust
QQQ,1-1.5%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,1431,robust
QQQ,1-1.5%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,627,robust
QQQ,1-1.5%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,132,robust
QQQ,1-1.5%,50000,0.0,0.0,0.0,0.0,8,0.0,0.0,53,robust
QQQ,1-1.5%,100000,0.0,0.0,0.0,0.0,8,0.0,0.0,15,robust
QQQ,1.5-2%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,644,robust
QQQ,1.5-2%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,196,robust
QQQ,1.5-2%,25000,0.0,0.0,0.0,0.0,8,0.0,0.0,24,robust
QQQ,2-3%,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,396,robust
QQQ,2-3%,5000,0.0,0.0,0.0,0.0,8,0.0,0.0,47,robust
QQQ,3%+,1000,0.0,0.0,0.0,0.0,8,0.0,0.0,197,robust
SPXW,0.3-0.5%,1000,11.840406720686412,8.964817320703654,13.53257219610477,1.5215354709643467,8,4.567754875401116,11.842491918895092,3403,robust
SPXW,0.3-0.5%,5000,12.360489329047917,9.338662790697674,14.071962949768436,1.5432133533674777,8,4.733300159070762,12.366938008766438,3194,robust
SPXW,0.3-0.5%,25000,13.659782849697365,10.247349823321555,15.426880811496197,1.603075794658417,8,5.179530988174642,13.675533907830648,2669,moderate
SPXW,0.3-0.5%,50000,14.431522314222304,10.848329048843187,16.285853184248904,1.6623316670987693,8,5.437524135405717,14.452113891285592,2318,moderate
SPXW,0.3-0.5%,100000,15.871839824060022,12.009956440572497,17.8965717606043,1.7714530128382175,8,5.886615320031803,15.900877645844089,1937,moderate
SPXW,0.3-0.5%,250000,19.751039064816656,15.082644628099173,22.067039106145252,2.1170312197348484,8,6.984394478046079,19.799498746867165,1197,moderate
SPXW,0.3-0.5%,500000,22.63705874029694,17.326732673267326,24.896265560165975,2.3925852223134787,8,7.569532886898649,22.727272727272727,528,moderate
SPXW,0.3-0.5%,1000000,20.646423913679385,16.216216216216218,22.82608695652174,2.0606597326374425,8,6.609870740305521,20.792079207920793,101,moderate
SPXW,0.5-1%,1000,0.9112225500790829,0.4907574022574841,1.0328936914031464,0.18614335663433035,8,0.5421362891456623,0.9125368524498104,7123,robust
