executed_at,underlying_symbol,option_chain_id,side,strike,option_type,expiry,underlying_price,nbbo_bid,nbbo_ask,ewma_nbbo_bid,ewma_nbbo_ask,price,size,premium,volume,open_interest,implied_volatility,delta,theta,gamma,vega,rho,theo,sector,exchange,report_flags,canceled,upstream_condition_detail,equity_type,date,ingested_at,spread_width_pct,nbbo_position,distance_from_spot_pct,distance_from_spot_pts,repeat_print_count_today,significance_score,signed_direction,time_bucket,dte_bucket,ticker_family,won,close_won,time_to_itm_min,time_in_itm_min,mfe_pts,mae_pts,close_distance_from_strike_pts
2026-04-13T13:50:43.430210+0000,SPXW,SPXW260413C06650000,bid,6650.0,call,2026-04-13,6814.91,164.5,167.0,164.5,167.0,164.3,488,8017840.0,735,1018,0.56130450582238,0.950929192928638,-20.1066130262409,0.001002065027696772,0.1835350583457472,0.04435824139522425,166.9999999999991,,XCBO,{futures_floor},false,mfsl,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.015082956259426848,-1.1599999999999908,0.024198412011310472,164.90999999999985,1,5,bearish_call_sell,open,0DTE,spx_complex,false,false,0,369,-237.0,-237.0,-235.97999999999956
2026-04-13T16:44:49.380735+0000,SPX,SPX260417C06000000,bid,6000.0,call,2026-04-17,6840.04,840.7,845.8,840.7,845.8,836.86,5000,418430000.0,5005,109498,0.67619629245478,0.970397742341536,-4.091841018879391,0.0001389802376904971,0.481848204569583,0.634713356002827,845.799999999999,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0060480284613102986,-2.505882352941216,0.12281214729738422,840.04,0,4,bearish_call_sell,midday,2-7DTE,spx_complex,false,false,0,195,-886.5500000000002,-886.5500000000002,-885.9799999999996
2026-04-13T17:34:04.548481+0000,SPX,SPX260918P07000000,bid,7000.0,put,2026-09-18,6847.57,323.1,324.1,323.1,324.1,323.0,5000,161500000.0,5290,96496,0.1338280654780257,-0.577575195145884,-0.722132859474323,0.000649125043365171,17.63245354903789,-18.51840765714975,322.9999999999996,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0030902348578491965,-1.2000000000000455,0.02226045151783776,152.4300000000003,4,4,bullish_put_sell,midday,8DTE+,spx_complex,false,false,0,145,-157.3800000000001,-157.3800000000001,-114.02000000000044
2026-04-13T17:07:22.895534+0000,SPX,SPX260618P07000000,ask,7000.0,put,2026-06-18,6847.06,230.0,230.9,230.0,230.9,231.32,4000,92528000.0,8684,279079,0.1224498406590222,-0.652203107069549,-0.972375750992902,0.001036520097957715,10.75957928029395,-8.49319427986979,231.3199999999997,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0039054024734215915,1.9333333333333311,0.022336594100241504,152.9399999999996,7,4,bearish_put_buy,midday,8DTE+,spx_complex,true,true,0,172,157.3800000000001,113.44999999999982,114.02000000000044
2026-04-13T16:44:49.380745+0000,SPX,SPX260417P07000000,ask,7000.0,put,2026-04-17,6840.04,157.2,160.1,157.2,160.1,164.93,5000,82465000.0,5011,108996,0.1653451052868865,-0.907596677094126,-2.429754823284958,0.001398666803247369,1.185741499727351,-0.698403021938729,164.9300000000003,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.018279231011660926,4.331034482758633,0.023385828153051742,159.96000000000004,0,4,bearish_put_buy,midday,2-7DTE,spx_complex,true,true,0,195,160.8199999999997,113.44999999999982,114.02000000000044
2026-04-13T19:48:59.392535+0000,SPXW,SPXW260630P07000000,bid,7000.0,put,2026-06-30,6862.27,232.7,233.3,232.7,233.3,232.6,3500,81410000.0,8507,6679,0.1221384438048723,-0.624056791400456,-0.91780496877658,0.000979455168521511,12.03855291574355,-9.64859187501483,232.6000000000004,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.0025751072961374367,-1.3333333333333017,0.020070618031642527,137.72999999999956,1,4,bullish_put_sell,close,8DTE+,spx_complex,false,false,0,11,-137.72999999999956,-137.72999999999956,-114.02000000000044
2026-04-13T14:25:51.984511+0000,SPX,SPX260618C06800000,bid,6800.0,call,2026-06-18,6818.33,220.8,221.7,220.8,221.7,220.0,3000,66000000.0,3097,39739,0.1813926076683481,0.531147749393782,-1.603286847805752,0.000756241556431544,11.53153781707275,6.15073100964908,219.9999999999991,,XCBO,{futures_floor},false,mfsl,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004067796610169388,-2.777777777777848,0.0026883415733764612,18.329999999999927,2,4,bearish_call_sell,open,8DTE+,spx_complex,false,false,0,334,-86.55000000000018,-86.55000000000018,-85.97999999999956
2026-04-13T14:25:51.916539+0000,SPX,SPX260618P06800000,ask,6800.0,put,2026-06-18,6818.33,165.1,165.9,165.1,165.9,167.0,3000,50100000.0,3091,38350,0.1534584656608558,-0.468348333648514,-1.322068504377919,0.000893811453665529,11.53038667947826,-6.07625563256258,167.0,,XCBO,{futures_floor},false,mfsl,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004833836858006111,3.7499999999999467,0.0026883415733764612,18.329999999999927,2,4,bearish_put_buy,open,8DTE+,spx_complex,false,false,,0,-14.11999999999989,-86.55000000000018,-85.97999999999956
2026-04-13T19:48:59.293980+0000,SPXW,SPXW260630C07000000,ask,7000.0,call,2026-06-30,6862.26,138.6,139.2,138.6,139.2,139.3,3500,48755000.0,8520,8789,0.1561254797801117,0.4077454474402976,-1.247115002212317,0.000783870384156978,12.31555868882538,5.68172359955697,139.2999999999997,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004319654427645748,1.3333333333334596,0.020072104525331272,137.73999999999978,1,4,bullish_call_buy,close,8DTE+,spx_complex,false,false,,0,-113.0,-137.72999999999956,-114.02000000000044
2026-04-13T17:16:31.305063+0000,SPX,SPX260618C06885000,bid,6885.0,call,2026-06-18,6847.78,181.9,182.7,181.9,182.7,181.7,1560,28345200.0,2749,116,0.1705496605168308,0.486639847793861,-1.517358921967136,0.000802860789508523,11.61025549632081,5.69716089635906,181.7000000000003,,XCBO,{futures_floor},false,cbmo,Index,2026-04-13,2026-04-29T01:51:34.974392+0000,0.004388370817333971,-1.5000000000000888,0.005435338167990247,37.220000000000255,17,4,bearish_call_sell,midday,8DTE+,spx_complex,false,false,159,4,-1.550000000000182,-1.550000000000182,-0.9799999999995634
