underlying_symbol,time_bucket,n,win_rate
AMD,afternoon,4,0.5
AMD,close,2,0.5
AMD,morning,2,0.0
AMD,open,1,0.0
MSFT,open,10,0.3
MSTR,open,8,0.5
NVDA,afternoon,2,
NVDA,close,1,1.0
NVDA,midday,4,0.0
NVDA,morning,1,0.0
NVDA,open,5,0.25
QQQ,afternoon,12,0.5833333333333334
QQQ,midday,7,0.42857142857142855
QQQ,morning,8,0.375
QQQ,open,10,0.7
SPX,afternoon,137,0.4153846153846154
SPX,close,30,0.2
SPX,midday,209,0.4793814432989691
SPX,morning,244,0.43
SPX,open,272,0.5186721991701245
SPXW,afternoon,35,0.5428571428571428
SPXW,close,26,0.6956521739130435
SPXW,midday,49,0.18421052631578946
SPXW,morning,30,0.6428571428571429
SPXW,open,62,0.6206896551724138
SPY,afternoon,38,0.5789473684210527
SPY,close,12,0.8181818181818182
SPY,midday,37,0.5945945945945946
SPY,morning,23,0.6521739130434783
SPY,open,29,0.6551724137931034
TSLA,afternoon,1,1.0
TSLA,midday,7,0.3333333333333333
TSLA,morning,4,0.75
TSLA,open,5,0.2
TSM,afternoon,1,1.0
TSM,morning,3,1.0
TSM,open,2,1.0
