signed_direction,time_bucket,dte_bucket,ticker_family,n,win_rate,n_won
undirected,morning,8DTE+,spx_complex,43,,0
undirected,open,8DTE+,spx_complex,35,,0
undirected,midday,8DTE+,spx_complex,25,,0
undirected,afternoon,8DTE+,spx_complex,7,,0
bullish_call_buy,afternoon,0DTE,index_etf,18,1.0,18
bearish_put_buy,open,0DTE,index_etf,11,1.0,11
bullish_call_buy,open,0DTE,index_etf,10,1.0,10
bullish_call_buy,open,0DTE,spx_complex,9,1.0,9
bullish_call_buy,afternoon,0DTE,single_name,8,1.0,8
bullish_call_buy,open,0DTE,single_name,7,1.0,7
bullish_call_buy,morning,0DTE,spx_complex,6,1.0,6
bearish_put_buy,morning,0DTE,index_etf,5,1.0,5
bullish_call_buy,open,1DTE,spx_complex,5,1.0,5
bullish_call_buy,morning,0DTE,index_etf,13,0.9230769230769231,12
bearish_put_buy,midday,0DTE,index_etf,9,0.8888888888888888,8
bearish_put_buy,afternoon,0DTE,index_etf,10,0.8,8
bullish_call_buy,midday,0DTE,index_etf,17,0.7647058823529411,13
bullish_call_buy,open,8DTE+,spx_complex,64,0.6875,44
bearish_call_sell,close,8DTE+,spx_complex,27,0.64,16
bullish_call_buy,morning,8DTE+,spx_complex,47,0.6382978723404256,30
bearish_put_buy,open,8DTE+,spx_complex,36,0.6111111111111112,22
bullish_put_sell,morning,8DTE+,spx_complex,36,0.6111111111111112,22
bullish_call_buy,open,8DTE+,single_name,7,0.5714285714285714,4
bullish_call_buy,midday,8DTE+,spx_complex,102,0.5098039215686274,52
bearish_call_sell,open,8DTE+,spx_complex,112,0.5,56
bullish_call_buy,afternoon,8DTE+,spx_complex,47,0.48936170212765956,23
bearish_call_sell,afternoon,8DTE+,spx_complex,66,0.48484848484848486,32
bearish_call_sell,open,8DTE+,single_name,17,0.47058823529411764,8
bearish_put_buy,morning,8DTE+,spx_complex,37,0.40540540540540543,15
bullish_put_sell,open,8DTE+,spx_complex,50,0.4,20
bullish_put_sell,midday,8DTE+,spx_complex,48,0.3958333333333333,19
bearish_put_buy,afternoon,8DTE+,spx_complex,31,0.3870967741935484,12
bearish_call_sell,midday,8DTE+,spx_complex,34,0.38235294117647056,13
bearish_call_sell,morning,8DTE+,spx_complex,89,0.30337078651685395,27
bearish_put_buy,midday,8DTE+,spx_complex,37,0.2702702702702703,10
bullish_put_sell,afternoon,8DTE+,spx_complex,9,0.2222222222222222,2
bullish_put_sell,midday,0DTE,index_etf,5,0.2,1
bullish_put_sell,open,0DTE,index_etf,5,0.2,1
bearish_call_sell,open,0DTE,index_etf,6,0.16666666666666666,1
bullish_put_sell,close,8DTE+,spx_complex,6,0.16666666666666666,1
bearish_call_sell,afternoon,0DTE,index_etf,8,0.125,1
bullish_put_sell,afternoon,0DTE,index_etf,10,0.1,1
bearish_call_sell,open,0DTE,spx_complex,14,0.0,0
bearish_call_sell,open,0DTE,single_name,13,0.0,0
bearish_put_buy,close,8DTE+,spx_complex,11,0.0,0
bearish_call_sell,midday,0DTE,single_name,8,0.0,0
bearish_call_sell,afternoon,0DTE,single_name,7,0.0,0
bearish_call_sell,morning,0DTE,single_name,6,0.0,0
bullish_put_sell,morning,0DTE,index_etf,6,0.0,0
bearish_call_sell,morning,0DTE,spx_complex,5,0.0,0
bearish_call_sell,midday,0DTE,index_etf,5,0.0,0
