date,event
2025-05-01,FOMC
2025-05-02,NFP
2025-05-13,CPI
2025-05-30,PCE
2025-06-06,NFP
2025-06-11,CPI
2025-06-18,FOMC
2025-06-27,PCE
2025-07-03,NFP
2025-07-15,CPI
2025-07-30,FOMC
2025-07-31,PCE
2025-08-01,NFP
2025-08-12,CPI
2025-08-29,PCE
2025-09-05,NFP
2025-09-11,CPI
2025-09-17,FOMC
2025-09-26,PCE
2025-10-03,NFP
2025-10-15,CPI
2025-10-29,FOMC
2025-10-31,PCE
2025-11-07,NFP
2025-11-13,CPI
2025-11-26,PCE
2025-12-05,NFP
2025-12-10,FOMC
2025-12-11,CPI
2025-12-19,PCE
2026-01-09,NFP
2026-01-14,CPI
2026-01-28,FOMC
2026-01-30,PCE
2026-02-06,NFP
2026-02-11,CPI
2026-02-27,PCE
2026-03-06,NFP
2026-03-12,CPI
2026-03-18,FOMC
2026-03-27,PCE
2026-04-03,NFP
2026-04-14,CPI
